quarter_year,PRODUK DOMESTIK BRUTO,"1.  Pertanian, Peternakan, Kehutanan dan Perikanan",Tanaman Bahan Makanan,Tanaman Perkebunan,Peternakan dan Hasil Hasilnya,Kehutanan,Perikanan,2.  Pertambangan dan Penggalian,Minyak dan Gas Bumi,Tanpa Migas,Penggalian,3.  Industri Pengolahan,Migas,Industri Tanpa Migas,"4.  Listrik, Gas dan Air Minum",5.  Bangunan,"6.  Perdagangan, Hotel dan Restoran",Hotel,Restoran,7.  Pengangkutan dan Komunikasi,Pengangkutan,Komunikasi,"8.  Keuangan, Persewaan dan Jasa Perusahaan",Bank,Lembaga Keuangan Bukan Bank,Jasa Penunjang Keuangan,Sewa Bangunan,Jasa Perusahaan,9.  Jasa-Jasa,Pemerintahan Umum,Swasta
Q3_1993,"85.523,70","15.225,40","7.240,80","3.124,20","1.608,00","1.821,40","1.431,00","8.031,40","5.843,40","1.058,20","1.129,80","19.923,60","2.408,60","17.515,00","852,7","5.785,30","14.022,70","571,4","2.034,00","5.841,10","5.094,40","746,7","7.402,10","3.095,90","698,7","32,8","2.427,40","1.147,30","8.439,40","5.658,10","2.781,30"
Q4_1993,"86.239,80","12.875,70","5.534,60","2.425,40","1.727,90","1.686,30","1.501,50","7.626,40","5.152,30","1.181,40","1.292,70","21.423,60","2.462,30","18.961,30","884,3","6.426,80","14.760,60","542,4","2.096,80","6.154,30","5.276,00","878,3","7.433,10","3.031,20","684,1","75,3","2.490,40","1.152,10","8.655,10","5.720,10","2.935,00"
Q1_1994,"87.979,00","16.330,00","10.190,00","1.313,90","1.598,10","1.795,50","1.432,50","7.485,10","5.226,60","1.063,10","1.195,40","19.542,90","2.497,40","17.045,50","1.017,30","5.916,60","14.517,70","570,5","2.310,80","6.118,50","5.188,80","929,9","8.653,20","3.644,30","816,1",61,"2.806,30","1.325,50","8.397,60","5.435,50","2.962,10"
Q2_1994,"92.988,40","16.705,70","9.648,50","2.411,80","1.736,80","1.262,40","1.646,20","7.957,50","5.464,70","1.106,20","1.386,60","21.216,40","2.570,30","18.646,10","1.109,70","6.819,60","15.438,90","603,3","2.521,30","6.603,20","5.610,30","992,8","8.687,20","3.740,30","731,6","50,8","2.809,50","1.355,00","8.450,30","5.458,40","2.991,90"
Q3_1994,"99.809,70","18.311,70","8.991,10","3.772,20","1.845,00","1.974,00","1.729,40","8.839,60","6.251,00","1.221,70","1.366,90","23.549,80","2.822,70","20.727,10","1.188,50","6.687,20","16.692,10","626,1","2.658,60","7.140,60","6.029,80","1.110,60","8.487,20","3.577,20","693,1","46,3","2.810,90","1.359,70","8.913,00","5.829,40","3.083,60"
Q4_1994,"101.442,50","14.724,10","6.111,40","3.089,30","1.922,40","1.865,50","1.735,50","9.224,90","6.127,70","1.549,80","1.547,40","24.931,70","2.548,70","22.382,90","1.261,60","8.593,50","17.210,00","644,8","2.789,60","7.490,40","6.362,20","1.128,30","8.678,00","3.720,40","685,8","50,6","2.812,30","1.408,90","9.328,40","6.031,60","3.296,80"
Q1_1995,"106.543,20","19.704,10","12.385,80","1.825,00","1.805,80","2.055,70","1.631,80","9.299,20","6.218,10","1.437,20","1.643,90","24.202,80","3.029,90","21.310,50","1.294,60","8.020,70","17.563,20","671,2","2.946,70","7.630,60","6.426,20","1.215,70","9.304,40","4.181,00","736,1","60,9","2.851,30","1.475,20","9.523,50","6.191,00","3.332,50"
Q2_1995,"111.668,10","21.500,60","13.097,60","3.159,60","1.985,10","1.383,80","1.874,50","9.918,70","6.536,50","1.727,40","1.654,80","25.048,70","2.912,80","21.835,70","1.395,80","8.051,10","18.118,10","682,3","3.066,70","7.492,00","6.242,40","1.260,80","10.084,10","4.577,50","810,8","69,3","2.986,20","1.640,40","10.058,90","6.653,00","3.405,90"
Q3_1995,"117.120,00","19.807,10","9.437,80","4.289,80","2.085,20","2.009,80","1.984,50","10.094,80","6.172,90","2.053,50","1.868,40","29.431,80","2.690,40","27.190,70","1.476,70","8.907,10","19.362,10","700,4","3.189,40","7.641,50","6.308,50","1.344,60","10.081,30","4.465,60","827,5","71,9","2.999,30","1.716,90","10.317,60","6.690,30","3.627,30"
Q4_1995,"119.182,80","16.884,40","7.278,40","3.392,30","2.202,60","1.941,10","2.070,00","10.882,00","6.482,20","2.499,30","1.900,50","31.005,40","2.765,50","27.659,50","1.488,30","9.473,00","20.596,40","742,8","3.261,60","8.031,00","6.545,90","1.497,30","10.040,50","4.102,30","872,1","77,3","3.062,40","1.926,40","10.781,80","7.020,90","3.760,90"
Q1_1996,"122.529,50","22.082,40","14.149,70","2.037,00","2.102,30","1.902,70","1.890,60","10.477,40","6.559,60","1.977,50","1.940,30","29.769,80","3.270,10","25.833,90","1.575,30","8.830,10","20.238,10","761,6","3.507,00","8.220,20","6.898,60","1.321,70","10.263,10","4.106,90","894,2","77,4","3.277,80","1.906,80","11.073,30","7.211,60","3.861,70"
Q2_1996,"128.845,50","24.596,50","14.587,30","3.425,30","2.320,80","2.015,40","2.247,70","10.897,50","6.529,70","2.341,60","2.026,20","31.136,00","3.416,90","27.141,30","1.704,00","9.230,80","20.698,40",809,"3.621,90","8.678,40","7.319,50","1.358,90","10.556,90","4.161,60",997,"75,9","3.328,70","1.993,70","11.347,10","7.762,70","3.584,40"
Q3_1996,"136.939,80","22.652,70","10.681,30","4.868,80","2.458,40","2.279,90","2.364,20","11.727,30","6.962,20","2.217,70","2.547,30","36.016,70","3.577,20","34.106,00","1.790,70","11.691,80","21.973,10",841,"3.660,10","8.734,90","7.329,20","1.405,70","10.800,10","4.197,40","1.045,30","88,2","3.286,90","2.182,20","11.552,60","7.366,30","4.186,30"
Q4_1996,"144.253,20","19.460,20","8.203,80","4.103,50","2.642,20","1.972,40","2.538,30","12.985,90","8.066,90","2.560,90","2.358,10","39.503,50","3.930,10","33.896,40","1.822,70","12.272,10","24.227,70","846,7","3.714,70","9.292,80","7.699,20","1.593,60","12.361,80","5.243,50","881,3","84,7","3.755,20","2.397,00","12.326,50","7.412,30","4.914,20"
Q1_1997,"145.800,90","26.248,10","17.019,20","2.243,70","2.575,40","2.112,90","2.296,80","12.808,20","8.209,80","2.109,40","2.489,00","38.351,30","3.781,30","34.570,00","1.783,80","10.954,70","22.168,20","864,4","4.284,20","9.482,80","7.831,60","1.651,20","11.634,00","4.175,90","1.101,50","83,1","3.984,40","2.289,10","12.369,90","7.113,90","5.256,00"
Q2_1997,"149.405,70","24.946,50","13.373,30","3.881,90","2.832,40","2.220,70","2.638,10","12.165,70","7.063,70","2.563,80","2.538,20","39.707,60","3.382,60","36.325,00","1.916,40","11.468,70","23.036,80","902,9","4.351,50","9.236,20","7.555,00","1.681,20","12.501,90","4.703,50","1.129,20",91,"4.098,10","2.480,10","14.426,00","8.805,60","5.620,40"
Q3_1997,"163.236,70","28.079,40","13.248,50","5.880,90","3.016,80","2.978,80","2.954,40","13.210,90","7.813,70","2.710,30","2.687,00","43.570,20","3.509,10","40.061,10","1.999,20","12.281,70","26.430,60","1.047,50","4.911,90","9.578,50","7.803,90","1.774,60","13.617,80","4.894,40","1.086,50","98,8","4.492,20","3.045,90","14.468,40","8.205,90","6.262,50"
